Topic,Count,Name,Representation,Representative_Docs
120,19,120_corpo_sinto_entrego_seu,"['corpo', 'sinto', 'entrego', 'seu', 'toque', 'meu', 'ao', 'chutar', 'conversam', 'tremer']","['E me entrego ao seu corpo bonito', 'Sinto que o seu corpo ainda é meu', 'O meu corpo é seu']"
121,19,121_perdoar_perdão_perdoo_possa,"['perdoar', 'perdão', 'perdoo', 'possa', 'dependesse', 'perdoado', 'suplico', 'perdoada', 'ladrão', 'digitei']","['Eu vou te perdoar', 'Se eu te perdoar, como é que eu me perdoo?', 'Se eu te perdoar, como que eu me perdoo?']"
122,19,122_raiva_atacando_chutei_desconta,"['raiva', 'atacando', 'chutei', 'desconta', 'andam', 'misturada', 'morria', 'cega', 'auge', 'brava']","['Mas foi na hora da raiva', 'Meu amor tá com raiva de mim', 'Oh, raiva']"
123,19,123_ai_manda_cortou_tira,"['ai', 'manda', 'cortou', 'tira', 'bota', 'cidade', 'rodou', 'louco', 'quem', 'nessa']","['Ai, ai', 'Ai, ai, ai', 'Ai, ai, ai']"
124,19,124_desculpa_desculpe_vir_rouca,"['desculpa', 'desculpe', 'vir', 'rouca', 'soberano', 'ousadia', 'desculpando', 'jeito', 'interessante', 'sinceridade']","['Me desculpa vir aqui desse jeito', 'Cê tá certo, me desculpa', 'Desculpa não ser esse cara']"
125,19,125_muda_mudar_mudou_fase,"['muda', 'mudar', 'mudou', 'fase', 'incomodado', 'gabbana', 'acumulada', 'claramente', 'mude', 'mudança']","['Muda demais', 'Que muda de pessoa, igual muda de roupa', 'Que um sentimento muda tudo, muda o mundo']"
126,19,126_deixar_deixa_acontecer_levar,"['deixar', 'deixa', 'acontecer', 'levar', 'canal', 'deprê', 'consente', 'resignemos', 'libera', 'cala']","['Deixa, deixa levar', 'E agora só resta deixar acontecer', 'E pra deixar acontecer']"
127,19,127_disse_perguntava_pedi_falei,"['disse', 'perguntava', 'pedi', 'falei', 'perai', 'sl', 'respondo', 'respondi', 'chamava', 'dizia']","['Aí eu disse', 'Eu disse', 'Eu disse pra']"
128,19,128_brasil_bruno_rio_fernando,"['brasil', 'bruno', 'rio', 'fernando', 'salvador', 'fernandez', 'brasileira', 'con', 'lima', 'vicente']","['Brasil inteiro', 'Brasil', 'Brasil']"
129,18,129_quarto_sala_sofazinho_sofá,"['quarto', 'sala', 'sofazinho', 'sofá', 'cabe', 'lugares', 'dois', 'pilha', 'penumbra', 'sombras']","['O quarto é grande mas não cabe sentimento', 'O quarto é grande, mas não cabe sentimento', 'Hora no quarto, hora na sala']"
130,18,130_espelho_confere_reflexo_no,"['espelho', 'confere', 'reflexo', 'no', 'travesseiro', 'descer', 'teu', 'olhos', 'cabelão', 'embaçado']","['Tua foto no espelho', 'Você vai acordar, se olhar no espelho', 'Me olhando no espelho']"
131,18,131_tv_filme_cinema_assistir,"['tv', 'filme', 'cinema', 'assistir', 'estragada', 'filma', 'close', 'dvd', 'pipoca', 'rachava']","['TV já deu entrada', 'TV em casa', 'TV']"
132,18,132_solidão_abraça_garras_companheira,"['solidão', 'abraça', 'garras', 'companheira', 'pós', 'arde', 'término', 'risca', 'traumático', 'sujeito']","['Eu e a lua e a solidão', 'E o que era solidão', 'A saudade e a solidão']"
133,17,133_onde_aonde_está_estará,"['onde', 'aonde', 'está', 'estará', 'flor', 'tava', 'fala', 'você', 'parar', 'pensa']","['Amor, só me fala onde você está', 'Só me fala onde você está', 'Mas onde está você?']"
134,17,134_casa_leva_uô_recompensa,"['casa', 'leva', 'uô', 'recompensa', 'ônibus', 'descansar', 'uou', 'procuro', 'voltando', 'levo']","['Vai lá em casa hoje', 'Me leva pra casa', 'Me leva pra casa']"
135,17,135_copo_garrafa_copos_afogar,"['copo', 'garrafa', 'copos', 'afogar', 'mesa', 'cheio', 'mamadeira', 'glass', 'durona', 'cradle']","['O copo precisa da mesa', 'Um copo', 'A garrafa precisa do copo']"
136,17,136_perguntar_perguntando_pergunta_pedindo,"['perguntar', 'perguntando', 'pergunta', 'pedindo', 'perguntas', 'resposta', 'pergunto', 'garçom', 'pergunte', 'monte']","['E te perguntar', 'E se perguntar:', 'E se me perguntar']"
137,16,137_ouro_prata_cordão_letras,"['ouro', 'prata', 'cordão', 'letras', 'douradas', 'claras', 'cartas', 'escondendo', 'lua', 'sobre']","['Aquele cordão de ouro me deixa tão triste', 'Aquele cordão de ouro que você me deu', 'Cordão de ouro']"
138,16,138_ciúme_inveja_remetente_ciúmes,"['ciúme', 'inveja', 'remetente', 'ciúmes', 'nela', 'bate', 'alimente', 'gaveta', 'excesso', 'coloque']","['Ciúme demais faz a gente sofrer', 'Não pode ter ciúme, não pode ter ciúme', 'Com ciúme do que nunca foi meu']"
139,16,139_yo_soy_ese_alguien,"['yo', 'soy', 'ese', 'alguien', 'can', 'it', 'be', 'belong', 'am', 'mine']","['Esse alguém soy yo, esse alguém soy yo', 'Ese alguien soy yo (soy yo), ese alguien soy yo (ey)Pregúntale a mi bebé si yo vivo en la calle', 'Ese alguien soy yo (ese alguien soy yo), ese alguien soy yo (ese alguien soy yo, ay)']"
140,16,140_estrelas_estrela_cadente_passa,"['estrelas', 'estrela', 'cadente', 'passa', 'brilho', 'pedido', 'galáxia', 'flutuando', 'carregado', 'produzida']","['Ela é um pedido que a gente faz quando passa uma estrela cadente', 'Ela é o pedido que a gente faz quando passa uma estrela cadente', 'Ela é um pedido que a gente faz quando passa uma estrela cadente(Quando passa uma estrela cadente)']"
141,16,141_sabendo_falho_fraco_sou,"['sabendo', 'falho', 'fraco', 'sou', 'mesmo', 'incapacidade', 'nulas', 'praticamente', 'chances', 'porque']","['Mesmo sabendo que eu falho sou, porque me', 'Mesmo sabendo que, eu falho sou, porque me', 'Mesmo sabendo que eu falho sou, porque me']"
142,15,142_sim_diga_realidade_acha,"['sim', 'diga', 'realidade', 'acha', 'valeu', 'sério', 'causa', 'talvez', 'certeza', 'ouvir']","['Sim ou não?', 'Sim', 'Diga sim, diga sim, sim pra mim']"
143,15,143_mensagem_após_respondendo_visualizou,"['mensagem', 'após', 'respondendo', 'visualizou', 'visualizada', 'manda', 'postal', 'receber', 'recado', 'sinal']","['A minha terminou comigo por mensagem', 'Também é mensagem', 'Você tá a uma mensagem']"
144,15,144_família_desonrei_famílias_respeito,"['família', 'desonrei', 'famílias', 'respeito', 'redor', 'salvo', 'juntar', 'salvou', 'visito', 'imaginar']","['O seu sonho é ter uma família', 'A minha família', 'Família']"
145,15,145_história_caixinha_complicou_terço,"['história', 'caixinha', 'complicou', 'terço', 'verídica', 'invente', 'páginas', 'existem', 'relatos', 'independente']","['Tá cada parte dessa nossa história', 'E contar sua história', 'Pra fazer com que essa nossa história']"
146,15,146_voar_asas_voando_voei,"['voar', 'asas', 'voando', 'voei', 'alto', 'balão', 'queda', 'voadora', 'vim', 'deixou']","['E só depois me deixou voar', 'Eu vim fazer você voar...', 'Cê me deixou voar']"
147,15,147_pensando_pensava_em_penso,"['pensando', 'pensava', 'em', 'penso', 'pensar', 'pensa', 'resisto', 'sessenta', 'vivia', 'bagaceira']","['De novo eu acordei pensando em você', 'Quando fico pensando em você', 'Passei o dia todo pensando em você, ê, ê']"
148,15,148_azar_domina_mano_varanda,"['azar', 'domina', 'mano', 'varanda', 'minha', 'maria', 'tenta', 'dele', 'meu', 'favor']","['Domina a minha', 'Mas sei que o azar é meu', 'Que azar o meu']"
149,15,149_cultivou_pensaram_valorizou_entendendo,"['cultivou', 'pensaram', 'valorizou', 'entendendo', 'reparou', 'esperava', 'percebeu', 'pensava', 'conseguir', 'levou']","['O que antes cê não valorizou?', 'Mesmo entendendo que o problema nunca foi você', 'Pensaram até que você não ia conseguir']"
150,14,150_ódio_odeia_cuspa_fingindo,"['ódio', 'odeia', 'cuspa', 'fingindo', 'detesta', 'odiava', 'odeio', 'odiar', 'puro', 'balanço']","['Sou a pessoa que odeia, mas quer bem aí', 'Que aí eu pego ódio da sua cara e, se voltar', 'Me odeia']"
151,14,151_alô_oi_fazendinha_queridona,"['alô', 'oi', 'fazendinha', 'queridona', 'porteiro', 'bom', 'dia', 'doer', 'bebê', 'prazer']","['Alô, alô, alô, não vai doer não', 'Alô, alô, alô, fala comigo', 'Alô!']"
152,14,152_chuveiro_banheiro_banho_disputar,"['chuveiro', 'banheiro', 'banho', 'disputar', 'ducha', 'embaça', 'trombar', 'ida', 'aberta', 'palco']","['Vou apagar esse seu fogo embaixo do chuveiro', 'Escutando o chuveiro', 'No chuveiro quente']"
153,14,153_metade_defeito_entendedor_cinquenta,"['metade', 'defeito', 'entendedor', 'cinquenta', 'outra', 'metades', 'encontra', 'cento', 'basta', 'ausência']","['Que é você a minha outra metade', 'Só metade do seu:', 'A metade é sua']"
154,14,154_morrer_morre_morreu_prazer,"['morrer', 'morre', 'morreu', 'prazer', 'coloquem', 'caixão', 'afogado', 'come', 'pressão', 'plantou']","['E só morrer de prazer', 'E só morrer de prazer', 'Antes de morrer']"
155,14,155_antes_began_assumi_over,"['antes', 'began', 'assumi', 'over', 'pensasse', 'before', 'duzentos', 'magoar', 'sinta', 'trair']","['Mas antes de ir embora', 'Antes de ir embora', 'Antes da gente']"
156,14,156_muitas_resto_faz_tanto,"['muitas', 'resto', 'faz', 'tanto', 'muito', 'lauana', 'bastante', 'algo', 'feio', 'contando']","['Muitas, muitas, muitas vezes', 'E o resto tanto faz', 'E o resto tanto faz, tanto faz']"
157,14,157_chapéu_bota_fivela_cowgirl,"['chapéu', 'bota', 'fivela', 'cowgirl', 'usa', 'couro', 'mel', 'pras', 'gostosin', 'normal']","['Mais um dia normal(Pras cowgirl) que usa bota, fivela e chapéu', 'Bota, fivela e chapéu', 'Que tem o mel(As cowgirl) que usa bota, fivela e chapéu']"
158,14,158_última_vez_fotografia_juramos,"['última', 'vez', 'fotografia', 'juramos', 'passada', 'acontece', 'dê', 'reparou', 'último', 'tesão']","['Porque da última vez que te vi', 'E é a última vez que eu vou falar', 'É a última vez']"
159,14,159_mulher_graça_conquistar_rabo,"['mulher', 'graça', 'conquistar', 'rabo', 'malandros', 'título', 'receba', 'acham', 'finge', 'mulheres']","['De mulher pra mulher, supera', 'M de mulher, de mulher', 'Mulher']"
160,14,160_falta_desconheço_conquista_desconhecido,"['falta', 'desconheço', 'conquista', 'desconhecido', 'impedem', 'insignificante', 'comportar', 'sou', 'gosta', 'razões']","['Como você vai se comportar com essa falta que você tem de mim', 'A falta que me faz você', 'O que falta em você sou eu']"
161,13,161_dia_chegou_esse_cansativo,"['dia', 'chegou', 'esse', 'cansativo', 'avisado', 'elegante', 'justamente', 'chegar', 'belo', 'certo']","['Esse dia chegou', 'Esse dia chegou, acabou de chegar', 'Que um dia eu iria esquecer, esse dia chegou, acabou de chegar']"
162,13,162_cá_viva_prova_rolê,"['cá', 'viva', 'prova', 'rolê', 'cachorro', 'somos', 'você', 'caso', 'lá', 'mar']","['E você de lá e eu de cá', 'Você de lá e eu de cá', 'Nesse caso, eu e você somos a prova viva']"
163,13,163_sol_matheus__,"['sol', 'matheus', '', '', '', '', '', '', '', '']","['Sol', 'Sol', 'Sol']"
164,13,164_ligar_chame_ligando_chamadas,"['ligar', 'chame', 'ligando', 'chamadas', 'resisto', 'nego', 'nome', 'ligação', 'nenhuma', 'tocar']","['Eu sei que eu não posso ligar pra quem já me esqueceu', 'Não precisa ligar mais', 'Não tá na hora de me ligar']"
165,13,165_anjo_anjos_cantam_ôuô,"['anjo', 'anjos', 'cantam', 'ôuô', 'humano', 'ou', 'fatal', 'animal', 'pureza', 'querubim']","['Não sei, se é ser humano ou se é um anjo', 'Se é ser humano ou se é um anjo', 'Você é ser humano ou é um anjo?']"
166,13,166_escrito_prosa_papel_moda,"['escrito', 'prosa', 'papel', 'moda', 'viola', 'aleluia', 'aboia', 'glória', 'louvado', 'rabiscado']","['No papel tava escrito louvado seja o nome do senhor', 'Moda de viola e uma boa prosa', 'Moda de viola, uma boa prosa']"
167,13,167_desespero_decepção_decepcionado_decepções,"['desespero', 'decepção', 'decepcionado', 'decepções', 'ficamos', 'palhaço', 'transformar', 'couro', 'começo', 'canção']","['Veio o desespero', 'Olha o meu desespero', 'É desespero']"
168,13,168_brenno_rsq_dolce_br,"['brenno', 'rsq', 'dolce', 'br', 'land', 'virgínia', 'texas', 'mari', 'renovei', 'sonora']","['BR', 'Brenno e', 'Brenno e']"
169,13,169_rir_piada_laughter_their,"['rir', 'piada', 'laughter', 'their', 'ri', 'so', 'riso', 'feel', 'contar', 'emburrada']","['Que rir é bom', 'Se eu esquecer de rir', 'Mas que rir de tudo']"
170,13,170_café_saiu_ficou_jantar,"['café', 'saiu', 'ficou', 'jantar', 'coca', 'demorasse', 'refúgio', 'cafezinho', 'frias', 'leite']","['A gente saiu e ficou pro café(É que a gente só saiu pra jantar e ficou pro café)Pela luz do sol que me ilumina', 'A gente saiu e ficou pro café', 'Café e amor']"
171,13,171_alegria_vaga_alegrar_lume,"['alegria', 'vaga', 'alegrar', 'lume', 'lumes', 'imaginou', 'orgulhoso', 'melhora', 'transformou', 'trazê']","['Pra te alegrar tem até vaga-lume', 'Pra te alegrar tem até vaga-lume', 'Pra te alegrar tem até vaga-lumes']"
172,13,172_igreja_matriz_apê_visitava,"['igreja', 'matriz', 'apê', 'visitava', 'amanhã', 'espírito', 'quadro', 'seguinte', 'casando', 'marchar']","['Filho toda igreja também vai', 'Seus filhos na igreja', 'Sabe aquela igreja?']"
